sample_id	filename	coverage	total_gbp	download_url	s3_path	seq_plate_chemistry_version	library_id	instrument_model
HG00290	m84046_230630_233157_s3.bc2052--bc2052.bam	8.0	24.7	https://s3-us-west-2.amazonaws.com/human-pangenomics/working/HPRC/HG00290/raw_data/PacBio_HiFi/m84046_230630_233157_s3.bc2052--bc2052.bam	s3://human-pangenomics/working/HPRC/HG00290/raw_data/PacBio_HiFi/m84046_230630_233157_s3.bc2052--bc2052.bam	C1	PG00290.HFSS_m84046_230630_233157_s3	Revio
HG00290	m84046_230712_224626_s1.hifi_reads.bc2052.bam	3.6	11.1	https://s3-us-west-2.amazonaws.com/human-pangenomics/working/HPRC/HG00290/raw_data/PacBio_HiFi/m84046_230712_224626_s1.hifi_reads.bc2052.bam	s3://human-pangenomics/working/HPRC/HG00290/raw_data/PacBio_HiFi/m84046_230712_224626_s1.hifi_reads.bc2052.bam	C1	PG00290.HFSS_m84046_230712_224626_s1	Revio
HG00320	m84081_230610_202430_s3.hifi_reads.bc2011.bam	28.8	89.2	https://s3-us-west-2.amazonaws.com/human-pangenomics/working/HPRC/HG00320/raw_data/PacBio_HiFi/m84081_230610_202430_s3.hifi_reads.bc2011.bam	s3://human-pangenomics/working/HPRC/HG00320/raw_data/PacBio_HiFi/m84081_230610_202430_s3.hifi_reads.bc2011.bam	C1	HG00320_lib1_m84081_230610_202430_s3_m84081_230610_202430_s3	Revio
HG00320	m84081_230610_205536_s4.hifi_reads.bc2011.bam	39.5	122.3	https://s3-us-west-2.amazonaws.com/human-pangenomics/working/HPRC/HG00320/raw_data/PacBio_HiFi/m84081_230610_205536_s4.hifi_reads.bc2011.bam	s3://human-pangenomics/working/HPRC/HG00320/raw_data/PacBio_HiFi/m84081_230610_205536_s4.hifi_reads.bc2011.bam	C1	HG00320_lib1_m84081_230610_205536_s4_m84081_230610_205536_s4	Revio
HG00321	m84081_230623_212309_s3.hifi_reads.bc2015.bam	28.3	87.8	https://s3-us-west-2.amazonaws.com/human-pangenomics/working/HPRC/HG00321/raw_data/PacBio_HiFi/m84081_230623_212309_s3.hifi_reads.bc2015.bam	s3://human-pangenomics/working/HPRC/HG00321/raw_data/PacBio_HiFi/m84081_230623_212309_s3.hifi_reads.bc2015.bam	C1	HG00321_lib1_m84081_230623_212309_s3_m84081_230623_212309_s3	Revio
HG00321	m84081_230623_215414_s4.hifi_reads.bc2015.bam	28.1	87.1	https://s3-us-west-2.amazonaws.com/human-pangenomics/working/HPRC/HG00321/raw_data/PacBio_HiFi/m84081_230623_215414_s4.hifi_reads.bc2015.bam	s3://human-pangenomics/working/HPRC/HG00321/raw_data/PacBio_HiFi/m84081_230623_215414_s4.hifi_reads.bc2015.bam	C1	HG00321_lib1_m84081_230623_215414_s4_m84081_230623_215414_s4	Revio
HG00321	m84081_230630_190803_s1.hifi_reads.bc2015.bam	2.2	6.7	https://s3-us-west-2.amazonaws.com/human-pangenomics/working/HPRC/HG00321/raw_data/PacBio_HiFi/m84081_230630_190803_s1.hifi_reads.bc2015.bam	s3://human-pangenomics/working/HPRC/HG00321/raw_data/PacBio_HiFi/m84081_230630_190803_s1.hifi_reads.bc2015.bam	C1	HG00321_lib1_m84081_230630_190803_s1_m84081_230630_190803_s1	Revio
HG00321	m84081_230630_193909_s2.hifi_reads.bc2015.bam	2.6	7.9	https://s3-us-west-2.amazonaws.com/human-pangenomics/working/HPRC/HG00321/raw_data/PacBio_HiFi/m84081_230630_193909_s2.hifi_reads.bc2015.bam	s3://human-pangenomics/working/HPRC/HG00321/raw_data/PacBio_HiFi/m84081_230630_193909_s2.hifi_reads.bc2015.bam	C1	HG00321_lib1_m84081_230630_193909_s2_m84081_230630_193909_s2	Revio
HG00323	m84081_230623_212309_s3.hifi_reads.bc1016.bam	3.2	10.0	https://s3-us-west-2.amazonaws.com/human-pangenomics/working/HPRC/HG00323/raw_data/PacBio_HiFi/m84081_230623_212309_s3.hifi_reads.bc1016.bam	s3://human-pangenomics/working/HPRC/HG00323/raw_data/PacBio_HiFi/m84081_230623_212309_s3.hifi_reads.bc1016.bam	C1	HG00323_lib1	Revio
HG00323	m84081_230623_215414_s4.hifi_reads.bc1016.bam	3.2	9.9	https://s3-us-west-2.amazonaws.com/human-pangenomics/working/HPRC/HG00323/raw_data/PacBio_HiFi/m84081_230623_215414_s4.hifi_reads.bc1016.bam	s3://human-pangenomics/working/HPRC/HG00323/raw_data/PacBio_HiFi/m84081_230623_215414_s4.hifi_reads.bc1016.bam	C1	HG00323_lib1	Revio
HG00323	m84081_230624_203119_s1.hifi_reads.bc1016.bam	3.0	9.3	https://s3-us-west-2.amazonaws.com/human-pangenomics/working/HPRC/HG00323/raw_data/PacBio_HiFi/m84081_230624_203119_s1.hifi_reads.bc1016.bam	s3://human-pangenomics/working/HPRC/HG00323/raw_data/PacBio_HiFi/m84081_230624_203119_s1.hifi_reads.bc1016.bam	C1	HG00323_lib1	Revio
HG00323	m84081_230624_210225_s2.hifi_reads.bc1016.bam	3.2	9.9	https://s3-us-west-2.amazonaws.com/human-pangenomics/working/HPRC/HG00323/raw_data/PacBio_HiFi/m84081_230624_210225_s2.hifi_reads.bc1016.bam	s3://human-pangenomics/working/HPRC/HG00323/raw_data/PacBio_HiFi/m84081_230624_210225_s2.hifi_reads.bc1016.bam	C1	HG00323_lib1	Revio
HG00323	m84081_230624_213331_s3.hifi_reads.bc1016.bam	4.7	14.4	https://s3-us-west-2.amazonaws.com/human-pangenomics/working/HPRC/HG00323/raw_data/PacBio_HiFi/m84081_230624_213331_s3.hifi_reads.bc1016.bam	s3://human-pangenomics/working/HPRC/HG00323/raw_data/PacBio_HiFi/m84081_230624_213331_s3.hifi_reads.bc1016.bam	C1	HG00323_lib1	Revio
HG00323	m84081_230624_220437_s4.hifi_reads.bc1016.bam	4.3	13.2	https://s3-us-west-2.amazonaws.com/human-pangenomics/working/HPRC/HG00323/raw_data/PacBio_HiFi/m84081_230624_220437_s4.hifi_reads.bc1016.bam	s3://human-pangenomics/working/HPRC/HG00323/raw_data/PacBio_HiFi/m84081_230624_220437_s4.hifi_reads.bc1016.bam	C1	HG00323_lib1	Revio
HG00329	m84091_230712_173338_s3.hifi_reads.bc1019.bam	34.2	106.1	https://s3-us-west-2.amazonaws.com/human-pangenomics/working/HPRC/HG00329/raw_data/PacBio_HiFi/m84091_230712_173338_s3.hifi_reads.bc1019.bam	s3://human-pangenomics/working/HPRC/HG00329/raw_data/PacBio_HiFi/m84091_230712_173338_s3.hifi_reads.bc1019.bam	C1	HG00329_PB1_m84091_230712_173338_s3	Revio
HG00329	m84091_230719_165228_s3.hifi_reads.bc1019.bam	27.9	86.6	https://s3-us-west-2.amazonaws.com/human-pangenomics/working/HPRC/HG00329/raw_data/PacBio_HiFi/m84091_230719_165228_s3.hifi_reads.bc1019.bam	s3://human-pangenomics/working/HPRC/HG00329/raw_data/PacBio_HiFi/m84091_230719_165228_s3.hifi_reads.bc1019.bam	C1	HG00329_PB1_m84091_230719_165228_s3	Revio
HG00344	m84046_230715_060901_s1.hifi_reads.bc2083.bam	19.6	60.7	https://s3-us-west-2.amazonaws.com/human-pangenomics/working/HPRC/HG00344/raw_data/PacBio_HiFi/m84046_230715_060901_s1.hifi_reads.bc2083.bam	s3://human-pangenomics/working/HPRC/HG00344/raw_data/PacBio_HiFi/m84046_230715_060901_s1.hifi_reads.bc2083.bam	C1	PG00344.HFSS2_m84046_230715_060901_s1	Revio
HG00344	m84046_230715_064007_s2.hifi_reads.bc2083.bam	20.6	63.9	https://s3-us-west-2.amazonaws.com/human-pangenomics/working/HPRC/HG00344/raw_data/PacBio_HiFi/m84046_230715_064007_s2.hifi_reads.bc2083.bam	s3://human-pangenomics/working/HPRC/HG00344/raw_data/PacBio_HiFi/m84046_230715_064007_s2.hifi_reads.bc2083.bam	C1	PG00344.HFSS2_m84046_230715_064007_s2	Revio
HG00344	m84046_230718_233949_s3.hifi_reads.bc2083.bam	25.1	77.9	https://s3-us-west-2.amazonaws.com/human-pangenomics/working/HPRC/HG00344/raw_data/PacBio_HiFi/m84046_230718_233949_s3.hifi_reads.bc2083.bam	s3://human-pangenomics/working/HPRC/HG00344/raw_data/PacBio_HiFi/m84046_230718_233949_s3.hifi_reads.bc2083.bam	C1	PG00344.HFSS2_m84046_230718_233949_s3	Revio
HG00350	m84046_230701_000218_s4.hifi_reads.bc2048.bam	21.3	66.0	https://s3-us-west-2.amazonaws.com/human-pangenomics/working/HPRC/HG00350/raw_data/PacBio_HiFi/m84046_230701_000218_s4.hifi_reads.bc2048.bam	s3://human-pangenomics/working/HPRC/HG00350/raw_data/PacBio_HiFi/m84046_230701_000218_s4.hifi_reads.bc2048.bam	C1	PG00350.HFSS_m84046_230701_000218_s4	Revio
HG00350	m84046_230703_222200_s3.hifi_reads.bc2048.bam	37.8	117.0	https://s3-us-west-2.amazonaws.com/human-pangenomics/working/HPRC/HG00350/raw_data/PacBio_HiFi/m84046_230703_222200_s3.hifi_reads.bc2048.bam	s3://human-pangenomics/working/HPRC/HG00350/raw_data/PacBio_HiFi/m84046_230703_222200_s3.hifi_reads.bc2048.bam	C1	PG00350.HFSS_m84046_230703_222200_s3	Revio
HG00350	m84046_230712_231732_s2.hifi_reads.bc2048.bam	6.7	20.6	https://s3-us-west-2.amazonaws.com/human-pangenomics/working/HPRC/HG00350/raw_data/PacBio_HiFi/m84046_230712_231732_s2.hifi_reads.bc2048.bam	s3://human-pangenomics/working/HPRC/HG00350/raw_data/PacBio_HiFi/m84046_230712_231732_s2.hifi_reads.bc2048.bam	C1	PG00350.HFSS_m84046_230712_231732_s2	Revio
